# Chromatin Architecture Emerges during Zygotic Genome Activation Independent of Transcription
# Clemens B Hug, Alexis G Grimaldi, Kai Kruse, Juan M Vaquerizas
# http://dx.doi.org/10.1016/j.cell.2017.03.024
#
# List of consensus boundary calls for Drosophila melanogaster embryos at nuclear cycle 12, 13, 14 and at 3-4hpf
# NA denotes boundaries not called or called with a score <0.5 at this stage
#
chrom	start	end	c12	c13	c14	3-4h
3L	13490000	13500000	0.648020925694	1.34604836644	2.28110792745	2.17345935514
3L	13690000	13700000	NA	NA	1.01073764844	1.3020266872
3L	13870000	13880000	NA	0.557715962203	NA	NA
3L	14040000	14050000	NA	0.524630115575	0.751049472436	1.69867862127
3L	14190000	14200000	0.646776619878	1.19797891993	1.97514426144	1.97824160403
3L	14400000	14410000	NA	0.646669951685	0.745630623845	0.809947388191
3L	14620000	14630000	NA	NA	0.864423112431	1.65199467614
3L	14765000	14775000	0.902770352869	1.51422671632	1.96200843653	0.846728606733
3L	14960000	14970000	0.98749309046	1.17172372654	1.67183661456	2.13581281337
3L	15110000	15120000	NA	NA	0.651287637386	1.47617191513
3L	15260000	15270000	NA	NA	0.505373105113	NA
3L	15310000	15320000	NA	NA	NA	1.12898929149
3L	15520000	15530000	NA	0.949692585315	2.23067681429	2.72024787219
3L	15820000	15830000	NA	0.846413365611	1.81346476183	2.95464278951
3L	16010000	16020000	NA	0.570926310893	0.987461708744	1.29215285617
3L	16100000	16110000	1.20151487338	1.2425483145	1.68662823548	1.50815477779
3L	16390000	16400000	0.701915746164	1.51042040692	2.19079408575	1.9263540088
3L	16570000	16580000	0.62744900659	1.03648473494	1.55698194114	1.73891646666
3L	16760000	16770000	0.786352347158	1.27144203905	1.36974979219	0.627616403868
3L	17020000	17030000	0.525777306362	0.935927925123	1.75894339513	2.51227988133
3L	17385000	17395000	NA	NA	1.03486435664	1.35756953833
3L	17640000	17650000	NA	0.763346969348	1.43058753678	1.31557984218
3L	17820000	17830000	NA	NA	0.533440042704	NA
3L	18130000	18140000	0.596723887919	1.09114804051	1.43450649412	1.24761930878
3L	18425000	18435000	NA	NA	0.754255258621	1.32002260875
3L	18605000	18615000	0.616368198033	1.04064920642	1.20539561827	1.43667637983
3L	18850000	18860000	NA	0.983666869695	1.61752128518	2.16304847743
3L	19040000	19050000	NA	0.873607338181	1.73964690953	1.55201629021
3L	19275000	19285000	NA	NA	0.985482549675	1.32383846289
3L	19560000	19570000	1.00110089369	1.36497558255	1.73912076844	1.4303643794
3L	19910000	19920000	0.875717433533	1.48505170378	2.19737155599	2.28498452038
3L	20370000	20380000	NA	NA	NA	0.515590833749
3L	20510000	20520000	0.695870675982	0.785796402423	1.16280926065	1.41426525621
3L	20770000	20780000	0.691728676444	0.997139252612	1.75422630603	2.62116399197
3L	21030000	21040000	NA	0.931662857429	1.5518262977	2.78364568995
3L	21290000	21300000	NA	NA	1.03327771325	1.02716718016
3L	21480000	21490000	0.86377569058	1.23195017332	1.45723936128	1.55967538958
3L	21820000	21830000	NA	NA	0.786326086863	1.49018338324
3L	22070000	22080000	0.509935903432	0.672226085078	1.20998641375	1.180097617
3L	22275000	22285000	NA	NA	0.633257532629	1.17485881117
3L	22380000	22390000	NA	NA	0.862026154175	NA
3L	22710000	22720000	NA	0.663845422185	1.20932028481	1.79068804269
3L	22865000	22875000	NA	NA	0.674914147628	0.972620191403
3L	23290000	23300000	NA	NA	NA	0.59131361318
3L	23720000	23730000	NA	NA	NA	0.595435637446
3R	4170000	4180000	2.20015197272	2.37964074485	2.59226066071	2.16715790108
3R	4360000	4370000	NA	NA	0.721021499615	1.93893053256
3R	4400000	4410000	NA	NA	NA	1.93893053256
3R	4430000	4440000	NA	NA	0.589638221196	1.93893053256
3R	4640000	4650000	NA	0.979513867193	1.26524806865	1.77252277291
3R	4810000	4820000	NA	0.593456245754	0.935822606096	1.14070036739
3R	4940000	4950000	NA	0.553237426632	0.992938090579	2.43996350577
3R	5230000	5240000	NA	NA	0.780486832036	1.3777285707
3R	5610000	5620000	NA	NA	NA	1.08268015716
3R	5660000	5670000	NA	0.532426801098	1.1890640863	NA
3R	6140000	6150000	NA	NA	NA	0.533153578003
3R	6395000	6405000	0.672215221258	1.16276892593	1.96049864544	2.57026968776
3R	6660000	6670000	0.714172646077	NA	1.22156735481	2.09223837514
3R	6760000	6770000	NA	0.798024595382	0.830446421106	0.764739324608
3R	7090000	7100000	0.613966877078	1.35317202673	1.92082517847	2.30298784725
3R	7510000	7520000	NA	0.564294601987	0.735412451112	NA
3R	7895000	7905000	NA	NA	0.736739397646	1.55847752567
3R	8110000	8120000	NA	0.525762885707	0.996499992526	1.27097812331
3R	8305000	8315000	0.883560634819	1.18504277339	1.8681778277	2.59272740486
3R	8520000	8530000	NA	NA	1.1631273435	NA
3R	8665000	8675000	0.729852299547	1.26484980289	1.89639949516	2.32067727168
3R	8810000	8820000	NA	1.11418681217	1.95034676643	1.91117774031
3R	9025000	9035000	0.888686630448	1.5297365363	2.28565347546	2.69743793127
3R	9230000	9240000	NA	0.684375157957	1.30097393092	1.99158268585
3R	9370000	9380000	NA	NA	NA	0.678298687226
3R	9540000	9550000	NA	0.521158387825	0.835016341864	1.5809605736
3R	9785000	9795000	0.664777803911	0.674864436757	0.862668310612	1.14237037063
3R	10120000	10130000	NA	NA	0.780122772314	1.0375141632
3R	10350000	10360000	NA	0.56205392479	1.12246062755	1.61195627672
3R	10590000	10600000	NA	NA	1.33396951244	0.813101025021
3R	10660000	10670000	NA	0.830207276373	NA	0.898000584071
3R	10870000	10880000	0.965543204742	1.23988806752	1.91601770015	2.15251879559
3R	11200000	11210000	0.83008559045	1.58207820469	2.58773578153	3.11536444645
3R	11380000	11390000	NA	0.54709853159	1.02014870915	1.68418227217
3R	11605000	11615000	0.507564847812	0.818873882843	0.993003077508	1.7616568785
3R	11760000	11770000	0.503535739382	0.929108223402	1.46823918967	1.59875041987
3R	11970000	11980000	NA	0.688981327978	1.65035883835	2.61268893087
3R	12200000	12210000	NA	NA	NA	1.21468608297
3R	12380000	12390000	NA	0.826794119854	1.18627287206	1.23416878281
3R	12640000	12650000	0.993204607136	1.41094846845	2.0346801338	2.30909952612
3R	12990000	13000000	NA	NA	1.31831349275	NA
3R	13000000	13010000	NA	NA	1.31831349275	3.15463950328
3R	13040000	13050000	0.971158114757	1.48383025627	1.3067172174	NA
3R	13390000	13400000	0.668386480271	1.00725091037	1.39128651341	1.92205615241
3R	13655000	13665000	0.872167497618	1.75015954212	3.10628475865	3.24359410156
3R	14010000	14020000	NA	NA	NA	2.05322113698
3R	14030000	14040000	0.558306890092	0.919913442587	1.37685379749	NA
3R	14285000	14295000	0.780442041053	1.50801969611	2.65821807812	2.99395576512
3R	14510000	14520000	NA	NA	NA	0.609027493391
3R	14680000	14690000	NA	NA	NA	1.43772483173
3R	14820000	14830000	NA	0.552405923266	1.02807009034	1.31631803526
3R	15080000	15090000	NA	NA	0.641891159677	NA
3R	15240000	15250000	NA	0.550031508017	1.30259677421	1.71478841462
3R	15680000	15690000	NA	0.573338093241	1.0180992654	1.47908860415
3R	15800000	15810000	NA	NA	0.894804462664	0.874700410106
3R	15970000	15980000	NA	0.634469775448	1.01749607185	1.70048816656
3R	16250000	16260000	0.572539683497	1.0860823487	1.40441081533	1.60235234508
3R	16440000	16450000	NA	0.627399977016	1.37307600039	1.40677468739
3R	16635000	16645000	0.711018241657	1.12412728385	1.72003191419	2.62197570234
3R	16970000	16980000	NA	NA	0.677243701666	NA
3R	17075000	17085000	0.775201423814	1.26651102839	1.59240934359	1.31674734829
3R	17380000	17390000	NA	0.522460410919	0.880081660171	0.658081649162
3R	17530000	17540000	NA	NA	NA	1.46456142531
3R	17660000	17670000	NA	0.651093690657	0.869684513085	1.4286675588
3R	17795000	17805000	NA	0.549156118415	0.979316721749	NA
3R	18010000	18020000	NA	NA	1.31752688977	1.85875723097
3R	18060000	18070000	NA	0.734774777478	NA	NA
3R	18200000	18210000	NA	NA	NA	2.09461000767
3R	18260000	18270000	NA	NA	0.839507219146	NA
3R	18395000	18405000	NA	NA	0.659291557526	0.885803389634
3R	18680000	18690000	NA	0.512379306317	0.547358032963	1.22150718372
3R	18980000	18990000	NA	0.848592514778	1.54714248265	1.95517283282
3R	19310000	19320000	NA	NA	0.904914543338	0.828317696959
3R	19620000	19630000	NA	NA	NA	0.545618494493
3R	19880000	19890000	NA	NA	0.524900364239	1.39726413973
3R	20020000	20030000	NA	NA	0.658925976522	1.14307892263
3R	20290000	20300000	0.613297622612	1.03231339748	1.39291833191	1.52989261402
3R	20560000	20570000	0.737142943015	1.42347202266	2.18731491139	2.77505162021
3R	20820000	20830000	NA	0.764685053685	1.41381125809	1.72648453143
3R	21090000	21100000	NA	0.69486748076	1.12345192555	1.77182635222
3R	21360000	21370000	0.518912920712	1.01914962146	1.47685829161	1.97929328812
3R	21630000	21640000	NA	0.970953398225	1.7892590758	2.30449940229
3R	21860000	21870000	NA	NA	0.964756629985	1.81224065858
3R	22030000	22040000	NA	NA	1.19083002084	1.67353065828
3R	22350000	22360000	0.868753551787	1.3505859077	2.1026539307	2.35574917995
3R	22755000	22765000	0.52649962717	0.553253584647	0.980719658462	1.67746630059
3R	23120000	23130000	NA	0.620016708755	1.28187177085	1.99215224623
3R	23330000	23340000	NA	0.842169791598	1.54809379519	2.52152796057
3R	23520000	23530000	NA	NA	0.51353281257	0.58826729016
3R	23736666	23746666	NA	0.602766861105	1.40292070666	1.64618258067
